,features,lables
966,"He said his firm would be better off concentrating on its leading brand , Zywiec Full Light , which accounts for 85 percent of sales and is the country 's largest-selling brand .",O O O O O O O O O O O O O O B-ORG B-MISC I-MISC O O O O O O O O O O O O O O O O
967,""" You will not win the war of the Polish beer market with imported international brands , "" van Boxmeer said , adding that Heineken would remain an up-market import in Poland .",O O O O O O O O O B-MISC O O O O O O O O O B-PER O O O O B-ORG O O O O O O B-LOC O
968,Van Boxmeer also said Zywiec would be boosted by its recent shedding of soft drinks which only accounted for about three percent of the firm 's overall sales and for which 7.6 million zlotys in provisions had already been made .,B-PER I-PER O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
969,-- Warsaw Newsroom +48 22 653 9700,O B-ORG I-ORG O O O O
970,-DOCSTART- HAVEL HAS TRAECHEOTOMY AFTER CONDITIONS WORSENS .,O B-PER O O O O O O
971,PRAGUE 1996-12-06,B-LOC O
972,"Doctors performed an emergency tracheotomy to help Czech President Vaclav Havel breathe after cancer surgery on his lungs earlier this week , a spokesman said on Friday .",O O O O O O O B-LOC O B-PER I-PER O O O O O O O O O O O O O O O O O
973,"He said that the procedure to insert a device into Havel 's throat , done after his breathing worsened on Thursday , had helped , and the president 's condition significantly improved .",O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O
974,""" A worsening in the president 's lung functions took place yesterday , "" presidential spokesman Ladlislav Spacek said in a statement .",O O O O O O O O O O O O O O O O B-PER I-PER O O O O O
975,""" A tracheotomy was performed and supportive breathing was installed through the help of a breathing device , "" he said . """,O O O O O O O O O O O O O O O O O O O O O O O
976,"After these steps , the president 's condition signigicantly improved . """,O O O O O O O O O O O O
977,Havel has been recovering from surgery on Monday which removed a small malignant tumour and half of his right lung .,B-PER O O O O O O O O O O O O O O O O O O O O
978,"Doctors after the operation said that they had caught the cancer early , and that Havel could fully recover from the surgery within six weeks .",O O O O O O O O O O O O O O O B-PER O O O O O O O O O O
979,"His spokesman said on Thursday that Havel , 60 and a heavy smoker , had also developed a slight case of pneumonia in the left lung .",O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O
980,"-DOCSTART- UK-US open skies talks end , no date to restart .",O B-MISC O O O O O O O O O O
981,LONDON 1996-12-06,B-LOC O
982,"The UK Department of Transport on Friday said that the latest round of "" open skies "" talks with the U.S. had ended with no deal on liberalising the transatlantic flight market and no date set for when talks would restart .",O B-LOC B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O
983,"A spokesman for the DOT told Reuters "" We have had talks towards concluding a new air service agreement which would produce liberalisation ...",O O O O B-ORG O B-ORG O O O O O O O O O O O O O O O O O
984,"useful progress was made on a number of issues , but not all .",O O O O O O O O O O O O O O
985,"No date has been set for further talks . """,O O O O O O O O O O
986,-DOCSTART- Tambang Timah at $ 15.575 in London .,O B-ORG I-ORG O O O O B-LOC O
987,LONDON 1996-12-07,B-LOC O
988,PT Tambang Timah closed at $ 15.575 per GDR in London on Friday .,B-ORG I-ORG I-ORG O O O O O O O B-LOC O O O
989,It recorded the day 's low of $ 15.475 and the day 's high of $ 15.725 .,O O O O O O O O O O O O O O O O O O
990,It closed at $ 15.80 on Thursday .,O O O O O O O O
991,One Global Depository Receipt represents 10 common shares .,O O O O O O O O O
992,-- Jakarta newsroom +6221 384-6364,O B-LOC O O O
993,-DOCSTART- Telkom at $ 35 in London .,O B-ORG O O O O B-LOC O
994,LONDON 1996-12-07,B-LOC O
995,PT Telekomunikasi Indonesia ( Telkom ) closed at $ 35 in London on Friday .,B-ORG I-ORG I-ORG O B-ORG O O O O O O B-LOC O O O
996,It recorded the day 's low of $ 34.475 and the day 's high of $ 35.375 .,O O O O O O O O O O O O O O O O O O
997,Its previous close on Thursday as $ 35.63 .,O O O O O O O O O
998,One ADS represents 20 ordinary shares -- Jakarta newsroom +6221 384-6364 .,O O O O O O O B-LOC O O O O
999,-DOCSTART- Woman charged over N. Ireland arms find .,O O O O B-LOC I-LOC O O O
1000,BELFAST 1996-12-06,B-LOC O
1001,"A woman was charged on Friday with terrorist offences after three Irish Republican Army mortar bombs were found in a Belfast house , police said .",O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O O B-LOC O O O O O
1002,Police said the bombs were found hidden with incendiaries and ammunition that were blocked up behind a kitchen wall .,O O O O O O O O O O O O O O O O O O O O
1003,"The 35-year-old woman was charged with possession of explosives with intent to endanger life and making a house available for the purpose of terrorism , police said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004,She will appear in court on Saturday .,O O O O O O O O
1005,Her name was not released .,O O O O O O
1006,Security forces said the bombs may have been intended for use in a pre-Christmas bombing campaign by the guerrilla group that is battling to oust Britain from Northern Ireland .,O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC I-LOC O
1007,-DOCSTART- Britain sets conditions to clear American alliance .,O B-LOC O O O O B-MISC O O
1008,Edna Fernandes,B-PER I-PER
1009,LONDON 1996-12-06,B-LOC O
1010,The British government warned Friday that it would refer the proposed trans-Atlantic alliance between British Airways Plc and American Airlines to Britain 's Monopolies and Mergers Commission unless the carriers complied with a number of conditions .,O B-MISC O O O O O O O O O B-MISC O O B-ORG I-ORG I-ORG O B-ORG I-ORG O B-LOC O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O
1011,"Trade and Industry Secretary Ian Lang added that even if the conditions were met by both airlines , final clearance would hinge on an open skies deal between Britain and the United States to liberalise trans-Atlantic air traffic , which would create greater competition on the routes .",B-ORG I-ORG I-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O B-LOC O O B-LOC I-LOC O O B-MISC O O O O O O O O O O O O
1012,"Lang said he supported conditions proposed by Britain 's Office of Fair Trading , which was asked to examine the case last month .",B-PER O O O O O O B-LOC O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O
1013,""" I agree ... that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers , on those routes where BA and AA currently compete and for all passengers on the trans-Atlantic market route between the UK and U.S. , "" he said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O B-ORG O O O O O O O O B-MISC O O O O B-LOC O B-LOC O O O O O
1014,His comments came just minutes after the latest set of open skies talks ended in London with no deal signed .,O O O O O O O O O O O O O O O B-LOC O O O O O
1015,Industry sources said there was no new date for fresh talks and blamed the deadlock on uncertainty over whether the British Airways-American deal would be cleared .,O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O
1016,"The conditions for clearance of the alliance were that British Airways and American drop 168 slots at London Heathrow airport , the busiest in Europe .",O O O O O O O O O B-ORG I-ORG O B-ORG O O O O B-LOC I-LOC O O O O O B-LOC O
1017,"American 's parent , AMR Corp. , said it did not view the terms as a "" deal breaker . """,B-ORG O O O B-ORG I-ORG O O O O O O O O O O O O O O O
1018,"However , it called the conditions "" more severe "" than those imposed by other regulatory authorities on similar airline alliances .",O O O O O O O O O O O O O O O O O O O O O O
1019,"British Airways 's initial response was that "" unconditional divestiture of slots is unprecedented and if done it must be on the basis of fair market value . """,B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O
1020,"It added that it would be "" prepared to take reasonable steps to assist the introduction of additional competition . """,O O O O O O O O O O O O O O O O O O O O O
1021,"The government also wants British Airways to drop a clause in its agreement with USAir that bars it from competing on trans-Atlantic routes , and said both British Airways and American should be prepared to reduce services on the London to Dallas-Fort Worth route in the event that a new entrant wishes to enter .",O O O O B-ORG I-ORG O O O O O O O O B-ORG O O O O O O B-MISC O O O O O B-ORG I-ORG O B-ORG O O O O O O O O B-LOC O B-LOC I-LOC O O O O O O O O O O O O
1022,It also suggested losing some slots on the London-to-Boston route .,O O O O O O O O B-MISC O O
1023,The Office of Fair Trade called for British Airways / American to allow third-party access to their joint frequent flyer programme where the applicant does not have access to an equivalent programme .,O B-ORG I-ORG I-ORG I-ORG O O B-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O O O
1024,"Lang said responses should be made to the Office of Fair Trading by Jan. 10 , 1997 .",B-PER O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O
1025,-DOCSTART- Med oil products mostly lower as Elf strike ends .,O O O O O O O B-ORG O O O
1026,LONDON 1996-12-06,B-LOC O
1027,Mediterranean oil products were steady to mostly lower on Friday after Elf refinery workers voted to end their nine-day strike .,O O O O O O O O O O O B-ORG O O O O O O O O O
1028,"Gas oil erased Thursday 's gains , plunging $ 5.50 a tonne in line with the screen .",O O O O O O O O O O O O O O O O O O
1029,"Volume was very thin and market remained long , with premiums down $ 1 at about high cif quotes +$0.50 basis Genoa . """,O O O O O O O O O O O O O O O O O O O O O B-ORG O O
1030,"The sharp moves on the screen make everyone nervous , "" a trader said .",O O O O O O O O O O O O O O O
1031,"Trades were discussed in 0.2 , 0.5 and one percent heating oil into Syria and Lebanon and there were fresh inquiries from France and Spain for low sulphur diesel .",O O O O O O O O O O O O O B-LOC O B-LOC O O O O O O B-LOC O B-LOC O O O O O
1032,Interest remains focussed on a tender by India for a second purchase of high speed diesel for January delivery .,O O O O O O O B-LOC O O O O O O O O O O O O
1033,"Fuel oil lost ground sharply with weaker crude , but also suffered from some pricing pressure .",O O O O O O O O O O O O O O O O O
1034,High sulphur cracked fuel lost about $ 3 to $ 109-111 fob Med with several cargoes threatening to overhang the market .,O O O O O O O O O O O O O O O O O O O O O O
1035,"The chance of material heading north , talked earlier this week , may be in jeopardy now since American fuel oil is expected to head transatlantic following outages at two coking units in the U.S .",O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O B-LOC O
1036,"Up to 165,000 tonnes of fuel will have to find a new home and with the arbitrage from the U.S. to Europe open Rotterdam is a prime candidate .",O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O B-LOC O O O O O
1037,Low sulphur prices were lower with cif Med pegged in the mid to low $ 140s .,O O O O O O O O O O O O O O O O O
1038,"Gasoline prices fell after striking Elf refinery workers voted to go back to work , traders said .",O O O O O B-ORG O O O O O O O O O O O O
1039,"But an open arbitrage to the U.S. and tight Italian supplies after Elf scooped up Med material over the last week , continued to underpin prices into next week .",O O O O O O B-LOC O O B-MISC O O B-ORG O O O O O O O O O O O O O O O O O
1040,-DOCSTART- New meningitis scare hits Britain .,O O O O O B-LOC O
1041,LONDON 1996-12-06,B-LOC O
1042,"A boy has died from meningitis and a girl from the same school has contracted the disease in the second such scare to hit Britain in as many weeks , health authorities said on Friday .",O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O
1043,The 16-year-old who attended Sale Grammar School in the northern England city of Manchester died less than a day after becoming ill .,O O O O B-ORG I-ORG I-ORG O O O B-LOC O O B-LOC O O O O O O O O O
1044,The 15-year-old girl is also suffering from the disease and hospital officials described her condition as serious .,O O O O O O O O O O O O O O O O O O
1045,""" At the moment there is no evidence the two cases are linked .",O O O O O O O O O O O O O O
1046,"However , we are assuming they are as a precaution for the time being , "" a spokeswoman said .",O O O O O O O O O O O O O O O O O O O O
1047,"The more than 1,260 students at the school are being given antibiotics as a precaution .",O O O O O O O O O O O O O O O O
1048,Wales grappled with its own cluster of meningitis cases on a university campus in Cardiff .,B-LOC O O O O O O O O O O O O O B-LOC O
1049,At least two people have died and hundreds have been vaccinated in an effort to contain the virus .,O O O O O O O O O O O O O O O O O O O
1050,"In Scotland , eight people have died and hundreds more are fighting a widespread food-poisoning outbreak .",O B-LOC O O O O O O O O O O O O O O O
1051,"A health authority spokeswoman said 78 people suspected of having the disease , including 64 confirmed cases , were still being treated .",O O O O O O O O O O O O O O O O O O O O O O O
1052,Three were listed in poor condition .,O O O O O O O
1053,"More than 290 people have reported symptoms in Lanarkshire county , the worst-hit area , since the outbreak first came to light after people ate tainted meat pies at a pensioners ' lunch .",O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
1054,-DOCSTART- Major 's office-Conservatives still have majority .,O B-PER O B-MISC O O O O
1055,LONDON 1996-12-06,B-LOC O
1056,"British Prime Minister John Major 's office said on Friday that rebel Conservative MP Sir John Gorst had not "" resigned the whip "" ( quit the parliamentary party ) and the government still had a majority in the 651-seat parliament .",B-MISC O O B-PER I-PER O O O O O O O B-MISC O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O
1057,""" He ( Gorst ) isreserving the right not to cooperate , but he has not resigned the whip .",O O O B-PER O O O O O O O O O O O O O O O O
1058,"The government still has a majority , "" a spokesman from Major 's office in Downing Street said .",O O O O O O O O O O O B-PER O O O B-LOC I-LOC O O
1059,Gorst 's office said later the MP would not feel himself obliged to vote with the government .,B-PER O O O O O O O O O O O O O O O O O
